source_point_id,time_s,X,Y,Z,A_rad,C_rad
point-0000001,0.000000000,254.784314660,240.721539092,312.000000000,0.000000000,0.000000000
point-0000002,0.288748265,255.071578323,240.335432415,312.000000000,0.000000000,0.000000000
point-0000003,29.639926055,284.271914155,201.087850143,312.000000000,0.000000000,0.000000000
point-0000004,31.679920199,286.999737841,203.117360323,312.000000000,0.000000000,0.000000000
point-0000005,61.319846884,257.512137795,242.751050171,312.000000000,0.000000000,0.000000000
point-0000006,63.359841084,254.784314660,240.721539092,312.000000000,0.000000000,0.000000000
point-0000007,63.734385124,255.402591628,240.807616101,312.000000000,0.000000000,0.000000000
point-0000008,65.643311322,258.584135290,240.807616101,312.000000000,0.000000000,0.000000000
point-0000009,66.092019384,259.030537342,240.207616101,312.000000000,0.000000000,0.000000000
point-0000010,68.185983297,255.540597486,240.207616101,312.000000000,0.000000000,0.000000000
point-0000011,68.634691362,255.986999544,239.607616101,312.000000000,0.000000000,0.000000000
point-0000012,70.728655271,259.476939393,239.607616101,312.000000000,0.000000000,0.000000000
point-0000013,71.177363333,259.923341444,239.007616101,312.000000000,0.000000000,0.000000000
point-0000014,73.271327239,256.433401602,239.007616101,312.000000000,0.000000000,0.000000000
point-0000015,73.720035303,256.879803660,238.407616101,312.000000000,0.000000000,0.000000000
point-0000016,75.813999205,260.369743496,238.407616101,312.000000000,0.000000000,0.000000000
point-0000017,76.262707267,260.816145547,237.807616101,312.000000000,0.000000000,0.000000000
point-0000018,78.356671165,257.326205718,237.807616101,312.000000000,0.000000000,0.000000000
point-0000019,78.805379229,257.772607776,237.207616101,312.000000000,0.000000000,0.000000000
point-0000020,80.899343123,261.262547599,237.207616101,312.000000000,0.000000000,0.000000000
point-0000021,81.348051185,261.708949650,236.607616101,312.000000000,0.000000000,0.000000000
point-0000022,83.442015075,258.219009834,236.607616101,312.000000000,0.000000000,0.000000000
point-0000023,83.890723139,258.665411892,236.007616101,312.000000000,0.000000000,0.000000000
point-0000024,85.984687025,262.155351701,236.007616101,312.000000000,0.000000000,0.000000000
point-0000025,86.433395087,262.601753753,235.407616101,312.000000000,0.000000000,0.000000000
point-0000026,88.527358968,259.111813950,235.407616101,312.000000000,0.000000000,0.000000000
point-0000027,88.976067033,259.558216008,234.807616101,312.000000000,0.000000000,0.000000000
point-0000028,91.070030911,263.048155804,234.807616101,312.000000000,0.000000000,0.000000000
point-0000029,91.518738973,263.494557856,234.207616101,312.000000000,0.000000000,0.000000000
point-0000030,93.612702847,260.004618066,234.207616101,312.000000000,0.000000000,0.000000000
point-0000031,94.061410911,260.451020124,233.607616101,312.000000000,0.000000000,0.000000000
